# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm A: Gaussian (planar baseline)
# ==========================================================================
# 
# *** THIS PULSE ALONE IS NOT THE TARGET GATE. READ THE NEXT 6 LINES. ***
# 
#   The pulse realises   W = R_z(phi_vz) . X(pi)   with
#       phi_vz = +0.000000000069 rad = +0.000000 deg
#   You MUST apply phi_vz as a virtual-Z (frame update) AFTER the pulse.
#   Playing this file without it gives 1 - Fbar = 1.7483e-03  (instead of 1.7483e-03).
#   Alternative: use the companion file *_vzfree.csv, which has the whole drive
#   phase pre-rotated by psi = -phi_vz/2 = -0.000000 deg and needs NO virtual Z.
# 
# -- conventions ------------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.0961 MHz  (48.19 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 1.7483e-03
#   leakage 1 - tr(B^dag B)/2       = 1.0088e-05
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     5.22e-03  5.48e-03  5.79e-03  6.13e-03  6.51e-03
#     eps=-0.02     1.76e-03  2.06e-03  2.39e-03  2.76e-03  3.17e-03
#     eps=+0.00     1.09e-03  1.40e-03  1.75e-03  2.14e-03  2.57e-03
#     eps=+0.02     1.72e-03  2.05e-03  2.42e-03  2.82e-03  3.27e-03
#     eps=+0.05     5.11e-03  5.47e-03  5.86e-03  6.30e-03  6.77e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = None   status = None
#   git_commit = db5b96306191483a71fd79b71186c0ca9d4f0c9e
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,6.862353605843e-06,0.000000000000e+00,3.431176802921e-04,0.000000000000e+00,3.431176802921e-04,0.000000000000e+00,2.155871967445e-06,0.000000000000e+00
6.250000000000e-01,1.818169808144e-04,0.000000000000e+00,9.090849040719e-03,0.000000000000e+00,9.090849040719e-03,0.000000000000e+00,5.711948912243e-05,0.000000000000e+00
1.041666666667e+00,8.106229213282e-04,0.000000000000e+00,4.053114606641e-02,0.000000000000e+00,4.053114606641e-02,0.000000000000e+00,2.546647014476e-04,0.000000000000e+00
1.458333333333e+00,2.102695924146e-03,0.000000000000e+00,1.051347962073e-01,0.000000000000e+00,1.051347962073e-01,0.000000000000e+00,6.605814068032e-04,0.000000000000e+00
1.875000000000e+00,4.148424828611e-03,0.000000000000e+00,2.074212414305e-01,0.000000000000e+00,2.074212414305e-01,0.000000000000e+00,1.303266096553e-03,0.000000000000e+00
2.291666666667e+00,6.908293843896e-03,0.000000000000e+00,3.454146921948e-01,0.000000000000e+00,3.454146921948e-01,0.000000000000e+00,2.170304518882e-03,0.000000000000e+00
2.708333333333e+00,1.022891330111e-02,0.000000000000e+00,5.114456650555e-01,0.000000000000e+00,5.114456650555e-01,0.000000000000e+00,3.213507888097e-03,0.000000000000e+00
3.125000000000e+00,1.388211217543e-02,0.000000000000e+00,6.941056087716e-01,0.000000000000e+00,6.941056087716e-01,0.000000000000e+00,4.361194162665e-03,0.000000000000e+00
3.541666666667e+00,1.761834690977e-02,0.000000000000e+00,8.809173454884e-01,0.000000000000e+00,8.809173454884e-01,0.000000000000e+00,5.534966922012e-03,0.000000000000e+00
3.958333333333e+00,2.122277054643e-02,0.000000000000e+00,1.061138527321e+00,0.000000000000e+00,1.061138527321e+00,0.000000000000e+00,6.667330003749e-03,0.000000000000e+00
4.375000000000e+00,2.456200111252e-02,0.000000000000e+00,1.228100055626e+00,0.000000000000e+00,1.228100055626e+00,0.000000000000e+00,7.716380225257e-03,0.000000000000e+00
4.791666666667e+00,2.761195264364e-02,0.000000000000e+00,1.380597632182e+00,0.000000000000e+00,1.380597632182e+00,0.000000000000e+00,8.674550757653e-03,0.000000000000e+00
5.208333333333e+00,3.046147890101e-02,0.000000000000e+00,1.523073945050e+00,0.000000000000e+00,1.523073945050e+00,0.000000000000e+00,9.569755833288e-03,0.000000000000e+00
5.625000000000e+00,3.329200726240e-02,0.000000000000e+00,1.664600363120e+00,0.000000000000e+00,1.664600363120e+00,0.000000000000e+00,1.045899254388e-02,0.000000000000e+00
6.041666666667e+00,3.633857205285e-02,0.000000000000e+00,1.816928602643e+00,0.000000000000e+00,1.816928602643e+00,0.000000000000e+00,1.141609910032e-02,0.000000000000e+00
6.458333333333e+00,3.984152652035e-02,0.000000000000e+00,1.992076326017e+00,0.000000000000e+00,1.992076326017e+00,0.000000000000e+00,1.251658470241e-02,0.000000000000e+00
6.875000000000e+00,4.399988925408e-02,0.000000000000e+00,2.199994462704e+00,0.000000000000e+00,2.199994462704e+00,0.000000000000e+00,1.382297288394e-02,0.000000000000e+00
7.291666666667e+00,4.893645040606e-02,0.000000000000e+00,2.446822520303e+00,0.000000000000e+00,2.446822520303e+00,0.000000000000e+00,1.537383930884e-02,0.000000000000e+00
7.708333333333e+00,5.468169033585e-02,0.000000000000e+00,2.734084516792e+00,0.000000000000e+00,2.734084516792e+00,0.000000000000e+00,1.717875966450e-02,0.000000000000e+00
8.125000000000e+00,6.117901742440e-02,0.000000000000e+00,3.058950871220e+00,0.000000000000e+00,3.058950871220e+00,0.000000000000e+00,1.921995516943e-02,0.000000000000e+00
